brand_id,model_name
57,420
57,450
57,500
57,560
57,600
57,A-class
57,A 140
57,A 150
57,A 160
57,A 170
57,A 180
57,A 190
57,A 200
57,A 210
57,A 220
57,A 250
57,A 35
57,A 45
57,A45 AMG
57,AMG GT
57,AMG GT C
57,AMG GT R
57,AMG GT S
57,Adenauer
57,B-class
57,B 150
57,B 160
57,B 170
57,B 180
57,B 200
57,B 220
57,B 250
57,C-class
57,C 160
57,C 180
57,C 200
57,C 220
57,C 230
57,C 240
57,C 250
57,C 270
57,C 280
57,C 30 AMG
57,C 300
57,C 32 AMG
57,C 320
57,C 350
57,C 36 AMG
57,C 400
57,C 43 AMG
57,C 450 AMG
57,C 55 AMG
57,C 63 AMG
57,CL-class
57,CL 230
57,CL 320
57,CL 420
57,CL 500
57,CL 55 AMG
57,CL 600
57,CL 63 AMG
57,CL 65 AMG
57,CLA-class
57,CLA 180
57,CLA 200
57,CLA 220
57,CLA 250
57,CLA 350
57,CLA 350 AMG
57,CLA 45 AMG
57,CLC-class
57,CLC 160
57,CLC 180
57,CLC 200
57,CLC 220
57,CLC 230
57,CLC 250
57,CLC 350
57,CLE
57,CLK-class
57,CLK 55 AMG
57,CLK 63 AMG
57,CLS-class
57,CLS 220
57,CLS 250
57,CLS 300
57,CLS 320
57,CLS 350
57,CLS 400
57,CLS 450
57,CLS 500
57,E-class
57,E 200
57,E 220
57,E 230
57,E 240
57,E 250
57,E 260
57,E 280
57,E 300
57,E 320
57,E 350
57,E 400
57,E 500
57,E 55 AMG
57,E 63 AMG
57,G-class
57,G 320
57,G 350
57,G 500
57,G 55 AMG
57,G 63 AMG
57,G 65 AMG
57,GLA-class
57,GLA 200
57,GLA 220
57,GLA 250
57,GLA 35 AMG
57,GLA 45 AMG
57,GLB-class
57,GLB 200
57,GLB 220
57,GLB 250
57,GLC-class
57,GLC 200
57,GLC 220
57,GLC 250
57,GLC 300
57,GLC 43 AMG
57,GLC 63 AMG
57,GLE-class
57,GLE 300
57,GLE 350
57,GLE 400
57,GLE 450
57,GLE 500
57,GLE 63 AMG
57,GLS-class
57,GLS 350
57,GLS 400
57,GLS 450
57,GLS 500
57,GLS 63 AMG
57,S-class
57,S 320
57,S 350
57,S 400
57,S 450
57,S 500
57,S 550
57,S 600
